step,epoch,val_loss,train_loss
3,0,0.6971435546875,
3,0,,0.6943511962890625
7,1,0.7066650390625,
7,1,,0.6898956298828125
11,2,0.714691162109375,
11,2,,0.6885528564453125
15,3,0.68792724609375,
15,3,,0.6823883056640625
19,4,0.67431640625,
19,4,,0.6866912841796875
23,5,0.674652099609375,
23,5,,0.663787841796875
27,6,0.652008056640625,
27,6,,0.6528472900390625
31,7,0.6276092529296875,
31,7,,0.6292037963867188
35,8,0.60394287109375,
35,8,,0.6169052124023438
39,9,0.5850372314453125,
39,9,,0.5772933959960938
43,10,0.5583648681640625,
43,10,,0.5252761840820312
47,11,0.5570220947265625,
47,11,,0.5058364868164062
51,12,0.5783233642578125,
51,12,,0.485260009765625
55,13,0.5712432861328125,
55,13,,0.459747314453125
59,14,0.6186370849609375,
59,14,,0.4468231201171875
63,15,0.594573974609375,
63,15,,0.4390411376953125
67,16,0.58087158203125,
67,16,,0.413360595703125
