step,val_loss,epoch,train_loss
3,0.6851043701171875,0,
3,,0,0.7049789428710938
7,0.678192138671875,1,
7,,1,0.71246337890625
11,0.6693115234375,2,
11,,2,0.710845947265625
15,0.660736083984375,3,
15,,3,0.6888275146484375
19,0.643157958984375,4,
19,,4,0.6590118408203125
23,0.64532470703125,5,
23,,5,0.65618896484375
27,0.6369476318359375,6,
27,,6,0.6403656005859375
31,0.6189727783203125,7,
31,,7,0.6159820556640625
35,0.611968994140625,8,
35,,8,0.5795974731445312
39,0.651397705078125,9,
39,,9,0.53424072265625
43,0.6297454833984375,10,
43,,10,0.5129241943359375
47,0.6407470703125,11,
47,,11,0.46794891357421875
51,0.6762542724609375,12,
51,,12,0.47499847412109375
55,0.6186981201171875,13,
55,,13,0.4720611572265625
