val_loss,epoch,step,train_loss
0.996044397354126,0,3,
,0,3,1.0004563331604004
0.9823488593101501,1,7,
,1,7,0.9923884272575378
0.9535785913467407,2,11,
,2,11,0.9557069540023804
0.916949450969696,3,15,
,3,15,0.9342095255851746
0.9217047095298767,4,19,
,4,19,0.9254137277603149
0.9062902927398682,5,23,
,5,23,0.8892092704772949
0.8690371513366699,6,27,
,6,27,0.8679019212722778
0.8493545055389404,7,31,
,7,31,0.871429979801178
0.8279831409454346,8,35,
,8,35,0.7974807024002075
0.7873489856719971,9,39,
,9,39,0.7502158880233765
0.7331897020339966,10,43,
,10,43,0.6604310274124146
0.8104740381240845,11,47,
,11,47,0.6052471995353699
0.7220819592475891,12,51,
,12,51,0.531620442867279
0.6545713543891907,13,55,
,13,55,0.46065932512283325
0.5937912464141846,14,59,
,14,59,0.42013677954673767
0.6180863976478577,15,63,
,15,63,0.42157697677612305
0.556472897529602,16,67,
,16,67,0.3559216260910034
0.5596926808357239,17,71,
,17,71,0.32713884115219116
0.5787094831466675,18,75,
,18,75,0.3594657778739929
0.6584680080413818,19,79,
,19,79,0.34595268964767456
0.673325777053833,20,83,
,20,83,0.3925629258155823
0.6073439121246338,21,87,
,21,87,0.30395978689193726
