val_loss,epoch,step,train_loss
0.6920166015625,0,5,
,0,5,0.6949259638786316
0.6832275390625,1,11,
,1,11,0.6870524287223816
0.6634521484375,2,17,
,2,17,0.6609904170036316
0.626129150390625,3,23,
,3,23,0.6206156611442566
0.5792236328125,4,29,
,4,29,0.575042724609375
0.5577392578125,5,35,
,5,35,0.5294087529182434
0.5615234375,6,41,
,6,41,0.4930419921875
0.5373382568359375,7,47,
,7,47,0.4661814272403717
0.531982421875,8,53,
,8,53,0.4385935366153717
0.5348968505859375,9,59,
,9,59,0.4224497377872467
0.529388427734375,10,65,
,10,65,0.4024200439453125
0.525543212890625,11,71,
,11,71,0.3915201723575592
0.5236663818359375,12,77,
,12,77,0.3790740966796875
0.528472900390625,13,83,
,13,83,0.3752543032169342
0.5276641845703125,14,89,
,14,89,0.36737060546875
0.53192138671875,15,95,
,15,95,0.3639424741268158
0.53564453125,16,101,
,16,101,0.3687540590763092
0.53857421875,17,107,
,17,107,0.361083984375
