epoch,val_loss,step,train_loss
0,0.9926428198814392,5,
0,,5,0.9969133734703064
1,0.9500905275344849,11,
1,,11,0.9602436423301697
2,0.8639090657234192,17,
2,,17,0.8882803916931152
3,0.7859593033790588,23,
3,,23,0.7878468036651611
4,0.6543692350387573,29,
4,,29,0.6728920936584473
5,0.5720865726470947,35,
5,,35,0.5251833200454712
6,0.5258063077926636,41,
6,,41,0.4578864276409149
7,0.517652690410614,47,
7,,47,0.37594398856163025
8,0.5276147723197937,53,
8,,53,0.3380405902862549
9,0.5320432186126709,59,
9,,59,0.3170126974582672
10,0.5498011708259583,65,
10,,65,0.29170477390289307
11,0.5270704627037048,71,
11,,71,0.2708015739917755
12,0.5209935903549194,77,
12,,77,0.2650885283946991
